N,RMSE_observed,sqrt_expected_MSE
625,0.0257433490907518,0.028089875327071336
1250,0.019079787089009235,0.01986254132645683
2500,0.01319191169456994,0.014044937663535668
5000,0.010805454179978384,0.009931270663228416
10000,0.006303301843436459,0.007022468831767834
20000,0.004406631207092948,0.004965635331614208
40000,0.002800361264241861,0.003511234415883917
80000,0.002470738276467166,0.002482817665807104
160000,0.0013007433855606453,0.0017556172079419585
320000,0.0011729172375717434,0.001241408832903552
