delta,E_AB,stderr_E,E_c_theory,E_singlet,E_local_branch,E_populations,E_coherence,P_pp,P_pm,P_mp,P_mm,P_A_plus,P_B_plus
-3.141592653589793,1.0,0.0,1.0,1.0,0.49624,0.5014324132874164,0.49856758671258355,0.50019,0.0,0.0,0.49981,0.50019,0.50019
-3.0543261909900767,0.99626,0.00019320989105115567,0.9961946980917455,0.9961946980917455,0.49985,0.49797277846202037,0.4982219196297252,0.49858,0.000915,0.000955,0.49955,0.499495,0.499535
-2.9670597283903604,0.98465,0.00039028436748094316,0.984807753012208,0.984807753012208,0.49278,0.4937059770348394,0.4911017759773686,0.49703,0.003745,0.00393,0.495295,0.500775,0.50096
-2.8797932657906435,0.9661,0.0005772815171127518,0.9659258262890682,0.9659258262890682,0.486,0.48246408010682235,0.48346174618224586,0.49165,0.00829,0.00866,0.4914,0.49994,0.50031
-2.792526803190927,0.93981,0.0007640587801340939,0.9396926207859083,0.9396926207859083,0.46679,0.4694532575515233,0.4702393632343851,0.484505,0.014695,0.0154,0.4854,0.4992,0.499905
-2.705260340591211,0.90583,0.0009472909033132325,0.9063077870366499,0.9063077870366499,0.45314,0.4528853000276251,0.45342248700902477,0.478645,0.023455,0.02363,0.47427,0.5021,0.502275
-2.6179938779914944,0.86616,0.0011175125377372729,0.8660254037844387,0.8660254037844387,0.43127,0.43233151675212006,0.4336938870323186,0.467555,0.033555,0.033365,0.465525,0.50111,0.50092
-2.5307274153917776,0.81931,0.00128205133263064,0.8191520442889916,0.8191520442889916,0.40729,0.4080728070508012,0.4110792372381904,0.454875,0.0452,0.045145,0.45478,0.500075,0.50002
-2.443460952792061,0.76539,0.0014390589770749494,0.7660444431189779,0.7660444431189779,0.38611,0.38301020730929203,0.38303423580968593,0.441615,0.058555,0.05875,0.44108,0.50017,0.500365
-2.356194490192345,0.70934,0.0015761293798416424,0.7071067811865475,0.7071067811865475,0.35,0.3534917527737588,0.3536150284127887,0.427055,0.07338,0.07195,0.427615,0.500435,0.499005
