delta,joint_c1,parallel_malus,parallel_threshold
-3.141592653589793,1.0,0.500575,1.0
-3.076142806640006,0.9977,0.49875,0.957925
-3.0106929596902186,0.99105,0.49415,0.91705
-2.945243112740431,0.979725,0.48845,0.875225
-2.8797932657906435,0.964975,0.483,0.831925
-2.8143434188408563,0.9457,0.475075,0.7902
-2.748893571891069,0.92265,0.463975,0.749875
-2.6834437249412817,0.895025,0.4495,0.70795
-2.6179938779914944,0.8647,0.43595,0.6648
-2.552544031041707,0.8292,0.42035,0.621775
-2.4870941840919194,0.791375,0.400325,0.58115
-2.421644337142132,0.750525,0.377775,0.541
-2.356194490192345,0.705025,0.355325,0.50045
-2.2907446432425576,0.656875,0.3328,0.459025
-2.2252947962927703,0.60685,0.306925,0.416275
-2.159844949342983,0.554025,0.278875,0.3745
-2.0943951023931957,0.497625,0.252525,0.3323
-2.028945255443408,0.4398,0.223525,0.29105
-1.9634954084936207,0.379825,0.193475,0.2492
-1.8980455615438334,0.3167,0.1636,0.2076
-1.8325957145940461,0.25395,0.1322,0.1658
-1.7671458676442586,0.188025,0.09945,0.123525
-1.7016960206944713,0.122675,0.0663,0.082225
-1.636246173744684,0.057975,0.0341,0.0394
-1.5707963267948966,-0.00775,0.00055,-0.0022
-1.5053464798451093,-0.071525,-0.033475,-0.045225
-1.439896632895322,-0.1361,-0.065775,-0.08575
-1.3744467859455347,-0.201175,-0.098175,-0.1273
-1.3089969389957472,-0.2631,-0.128975,-0.169
-1.24354709204596,-0.324725,-0.159375,-0.213
-1.1780972450961726,-0.385725,-0.191625,-0.252925
-1.1126473981463851,-0.44335,-0.220275,-0.296875
-1.0471975511965979,-0.50265,-0.249825,-0.338375
-0.9817477042468106,-0.55845,-0.277975,-0.380625
-0.9162978572970233,-0.610875,-0.305075,-0.421125
-0.850848010347236,-0.660225,-0.331775,-0.46255
-0.7853981633974483,-0.7075,-0.355625,-0.506
-0.719948316447661,-0.752225,-0.378525,-0.547825
-0.6544984694978737,-0.795275,-0.4001,-0.5883
-0.5890486225480864,-0.8331,-0.41875,-0.63015
-0.5235987755982991,-0.86575,-0.4365,-0.671725
-0.45814892864851187,-0.8955,-0.451925,-0.7125
-0.39269908169872414,-0.923,-0.465375,-0.754475
-0.32724923474893686,-0.946425,-0.477525,-0.795025
-0.2617993877991496,-0.9649,-0.485875,-0.835175
-0.1963495408493623,-0.98085,-0.4956,-0.87905
-0.130899693899575,-0.991725,-0.501725,-0.919675
-0.06544984694978773,-0.997875,-0.504675,-0.96025
0.0,-1.0,-0.50595,-1.0
0.06544984694978728,-0.997875,-0.503725,-0.957925
0.13089969389957457,-0.991725,-0.501075,-0.91705
0.19634954084936185,-0.98085,-0.4938,-0.875225
0.26179938779914913,-0.9649,-0.484575,-0.831925
0.3272492347489364,-0.946425,-0.47545,-0.7902
0.3926990816987237,-0.923,-0.464475,-0.749875
0.4581489286485114,-0.8955,-0.450375,-0.70795
0.5235987755982987,-0.86575,-0.435025,-0.6648
0.589048622548086,-0.8331,-0.417,-0.621775
0.6544984694978733,-0.795275,-0.3988,-0.58115
0.7199483164476606,-0.752225,-0.378575,-0.541
0.7853981633974478,-0.7075,-0.35775,-0.50045
0.8508480103472356,-0.660225,-0.33465,-0.459025
0.9162978572970228,-0.610875,-0.30835,-0.416275
0.9817477042468097,-0.55845,-0.280425,-0.3745
1.0471975511965974,-0.50265,-0.252,-0.3323
1.1126473981463851,-0.44335,-0.222575,-0.29105
1.178097245096172,-0.385725,-0.193575,-0.2492
1.2435470920459597,-0.324725,-0.163075,-0.2076
1.3089969389957465,-0.2631,-0.132175,-0.1658
1.3744467859455343,-0.201175,-0.099825,-0.123525
1.439896632895321,-0.1361,-0.068275,-0.082225
1.5053464798451088,-0.071525,-0.0347,-0.0394
1.5707963267948966,-0.00775,-0.002975,0.0022
1.6362461737446834,0.057975,0.029725,0.045225
1.7016960206944711,0.122675,0.064975,0.08575
1.767145867644258,0.188025,0.098275,0.1273
1.8325957145940457,0.25395,0.12995,0.169
1.8980455615438334,0.3167,0.160375,0.213
1.9634954084936203,0.379825,0.19205,0.252925
2.028945255443408,0.4398,0.222975,0.296875
2.094395102393195,0.497625,0.2511,0.338375
2.1598449493429825,0.554025,0.2807,0.380625
2.2252947962927694,0.60685,0.3073,0.421125
2.290744643242557,0.656875,0.33315,0.46255
2.356194490192345,0.705025,0.35605,0.506
2.4216443371421317,0.750525,0.37815,0.547825
2.4870941840919194,0.791375,0.39875,0.5883
2.5525440310417062,0.8292,0.417025,0.63015
2.617993877991494,0.8647,0.433825,0.671725
2.683443724941281,0.895025,0.449,0.7125
2.7488935718910685,0.92265,0.461075,0.754475
2.8143434188408563,0.9457,0.473,0.795025
2.879793265790643,0.964975,0.48285,0.835175
2.945243112740431,0.979725,0.49065,0.87905
3.0106929596902177,0.99105,0.49595,0.919675
3.0761428066400054,0.9977,0.49865,0.96025
3.141592653589793,1.0,0.500575,1.0
